r,L,M,S
453.6,0.0536049,0.094742,0.888229
453.7,0.0537206,0.0949727,0.886174
453.8,0.0538374,0.0952055,0.884124
453.9,0.0539554,0.0954404,0.882079
454,0.0540746,0.0956775,0.88004
454.1,0.0541951,0.095917,0.878009
454.2,0.0543168,0.0961588,0.875987
454.3,0.0544398,0.0964032,0.873974
454.4,0.0545642,0.0966503,0.871972
454.5,0.05469,0.0969,0.869982
454.6,0.0548173,0.0971526,0.868004
454.7,0.0549461,0.0974081,0.866041
454.8,0.0550764,0.0976667,0.864091
454.9,0.0552083,0.0979284,0.862158
455,0.0553418,0.0981934,0.86024
455.1,0.0554771,0.0984617,0.858341
455.2,0.055614,0.0987333,0.856459
455.3,0.0557526,0.0990084,0.854594
455.4,0.055893,0.099287,0.852747
455.5,0.0560352,0.0995689,0.850917
455.6,0.0561791,0.0998544,0.849105
455.7,0.0563249,0.100143,0.84731
455.8,0.0564726,0.100436,0.845533
455.9,0.0566221,0.100732,0.843773
456,0.0567734,0.101031,0.842031
456.1,0.0569268,0.101335,0.840307
456.2,0.057082,0.101641,0.838599
456.3,0.0572392,0.101952,0.83691
456.4,0.0573985,0.102266,0.835238
456.5,0.0575597,0.102584,0.833583
456.6,0.057723,0.102905,0.831946
456.7,0.0578884,0.103231,0.830326
456.8,0.0580559,0.10356,0.828724
456.9,0.0582255,0.103893,0.827139
